,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Luke Harangody,2007,2010,Notre Dame,Big East,129,3769,936,1968,894,1839,42,129,562,719,388,834,1222,210,99,95,231,315,2476
15,D.J. Balentine,2013,2016,Evansville,MVC,139,4644,824,1910,561,1208,263,702,553,698,66,311,377,472,86,26,295,181,2464
16,Stefon Jackson,2006,2009,Texas-El Paso,CUSA,125,4091,810,1807,700,1468,110,339,726,945,211,432,643,205,140,11,246,321,2456
17,Dallas Moore,2014,2017,North Florida,A-Sun,135,4463,904,1870,629,1165,275,705,354,463,91,328,419,551,123,12,302,159,2437
18,Kevin Foster,2009,2013,Santa Clara,WCC,133,4212,771,1975,340,791,431,1184,450,577,60,299,359,464,233,21,401,304,2423
19,Kyle Singler,2008,2011,Duke,ACC,148,4887,814,1879,547,1143,267,736,497,643,360,655,1015,293,168,107,316,387,2392
22,Chasson Randle,2012,2015,Stanford,Pac-12,144,4791,760,1775,456,988,304,787,551,684,75,396,471,354,167,11,324,385,2375
23,C.J. McCollum,2010,2013,Lehigh,Patriot,111,3657,767,1746,550,1170,217,576,610,739,167,529,696,304,228,51,267,195,2361
24,Nate Wolters,2010,2013,South Dakota State,Summit,127,4204,773,1716,615,1254,158,462,648,807,120,481,601,668,192,21,280,229,2352
25,Travis Bader,2011,2014,Oakland,Total,137,4705,703,1726,199,480,504,1246,441,502,60,317,377,171,106,14,150,349,2351
26,Alec Peters,2014,2017,Valparaiso,Horizon,134,4250,790,1623,501,929,289,694,479,566,264,732,996,204,102,38,248,283,2348
27,Shawn Long,2013,2016,Louisiana,Sun Belt,135,4017,871,1732,759,1404,112,328,488,722,463,984,1447,148,96,273,328,415,2342
28,Randy Culpepper,2008,2011,Texas-El Paso,CUSA,138,4283,782,1825,464,902,318,923,456,614,100,273,373,274,251,35,272,312,2338
29,Matt Morgan,2016,2019,Cornell,Ivy,114,3704,743,1580,409,695,334,885,513,615,42,442,484,296,126,34,296,217,2333
30,David Holston,2006,2009,Chicago State,Total,119,3962,753,1808,303,661,450,1147,375,448,129,239,368,529,254,6,390,270,2331
31,Andrew Rowsey,2014,2018,Total,Total,130,3976,693,1645,289,656,404,989,541,606,53,314,367,425,139,13,313,279,2331
32,Justin Wright-Foreman,2016,2019,Hofstra,CAA,125,3507,819,1694,542,976,277,718,412,508,44,323,367,258,83,19,212,201,2327
33,Juan'ya Green,2012,2016,Total,Total,134,5002,695,1752,449,1033,246,719,681,842,90,441,531,773,230,51,391,281,2317
34,Nick Mayo,2016,2019,Eastern Kentucky,OVC,124,4156,829,1612,695,1266,134,346,524,636,210,623,833,259,109,177,339,319,2316
35,Jared Brownridge,2014,2017,Santa Clara,WCC,129,4519,729,1723,344,767,385,956,470,560,43,321,364,322,112,18,208,258,2313
36,Antoine Mason,2011,2015,Total,Total,124,4282,727,1734,558,1191,169,543,685,941,128,334,462,192,140,16,288,314,2308
37,Devan Downey,2006,2010,Total,Total,128,4322,833,2003,640,1433,193,570,445,573,76,309,385,567,342,18,382,276,2304
38,Trey Freeman,2012,2016,Total,Total,135,4619,858,1969,720,1597,138,372,450,554,69,439,508,541,163,13,266,260,2304
39,Joe Young,2012,2015,Total,Total,132,4333,778,1718,490,979,288,739,460,519,85,391,476,351,130,8,221,194,2304
40,Buddy Hield,2013,2016,Oklahoma,Big 12,132,4182,783,1748,434,854,349,894,376,450,209,452,661,254,168,38,285,259,2291
41,Tookie Brown,2016,2019,Georgia Southern,Sun Belt,129,4277,741,1598,541,1065,200,533,608,787,70,412,482,526,197,28,299,301,2290
44,James Florence,2007,2010,Mercer,A-Sun,119,3948,744,1918,502,1099,242,819,556,768,58,268,440,436,222,34,345,265,2286
45,Alex Young,2009,2012,IUPUI,Summit,131,4103,833,1816,631,1230,202,586,418,573,204,464,668,213,173,89,318,314,2286
46,LaceDarius Dunn,2008,2011,Baylor,Big 12,134,3961,724,1664,336,679,388,985,449,537,137,455,592,175,158,18,307,353,2285
47,Colt Ryan,2010,2013,Evansville,MVC,128,4379,708,1699,446,1043,262,656,601,697,85,406,491,406,183,20,295,321,2279
48,Jordan Davis,2016,2019,Northern Colorado,Big Sky,130,3988,819,1665,713,1329,106,336,528,766,107,479,586,498,156,52,418,359,2272
49,Trevon Bluiett,2015,2018,Xavier,Big East,142,4553,717,1662,398,831,319,831,508,648,156,606,762,307,112,26,255,324,2261
50,Malcolm Delaney,2008,2011,Virginia Tech,ACC,136,4692,635,1585,371,858,264,727,721,853,113,364,477,543,175,24,377,363,2255
51,Jonathan Stark,2014,2018,Total,Total,130,4621,749,1762,456,1007,293,755,440,547,50,329,379,578,154,15,333,255,2231
52,John Brown,2013,2016,High Point,Big South,119,3535,858,1550,857,1538,1,12,512,712,381,420,801,180,182,167,187,277,2229
53,Georges Niang,2013,2016,Iowa State,Big 12,138,4110,849,1697,661,1195,188,502,342,448,162,552,714,421,92,67,318,422,2228
54,Scottie Reynolds,2007,2010,Villanova,Big East,139,4340,652,1573,365,803,287,770,631,775,66,333,399,482,207,13,396,317,2222
55,Devon Saddler,2011,2014,Delaware,CAA,124,4449,748,1750,556,1181,192,569,534,713,108,423,531,336,101,28,368,270,2222
56,Talor Battle,2008,2011,Penn State,Big Ten,134,4799,722,1791,405,861,317,930,452,634,95,530,625,517,145,12,301,233,2213
57,John Holland,2008,2011,Boston University,AEC,129,4195,723,1667,468,949,255,718,511,633,219,506,725,154,200,41,249,324,2212
58,Orlando Johnson,2008,2012,Total,Total,124,3878,738,1615,516,1047,222,568,510,708,222,469,691,319,112,68,324,276,2208
59,QJ Peterson,2014,2017,Virginia Military Institute,Total,113,3681,715,1794,432,949,283,845,487,614,190,478,668,300,177,33,300,243,2200
60,Reggie Hamilton,2008,2012,Total,Summit,123,3852,687,1546,410,833,277,713,534,644,103,276,379,548,185,15,427,322,2185
61,Donald Sims,2008,2011,Appalachian State,Southern,130,4058,641,1477,283,594,358,883,545,611,42,304,346,346,132,14,291,179,2185
62,D'Angelo Harrison,2012,2015,St. John's (NY),Big East,125,4311,660,1686,396,943,264,743,594,732,137,445,582,253,158,46,231,362,2178
63,Marcus Thornton,2012,2015,William & Mary,CAA,127,4328,709,1649,384,840,325,809,435,551,39,285,324,308,92,31,324,190,2178
66,Anthony Ireland,2011,2014,Loyola Marymount,WCC,132,4633,736,1774,540,1206,196,568,504,633,160,357,517,557,200,11,363,282,2172
67,Tyler Nelson,2015,2018,Fairfield,MAAC,127,4308,681,1586,366,742,315,844,495,568,71,326,397,358,145,7,244,190,2172
68,Peyton Aldridge,2015,2018,Davidson,A-10,130,4540,775,1602,536,985,239,617,382,462,226,666,892,275,73,116,166,295,2171
69,Greivis Vasquez,2007,2010,Maryland,ACC,136,4568,751,1769,521,1070,230,699,439,530,132,515,647,772,191,39,450,302,2171
70,Bogdan Bliznyuk,2015,2018,Eastern Washington,Big Sky,138,4265,776,1553,626,1156,150,397,467,556,169,662,831,414,126,55,355,364,2169
71,Brandon Ewing,2006,2009,Wyoming,MWC,126,4678,639,1464,446,870,193,594,697,855,78,350,428,471,161,11,345,299,2168
72,Kevin Anderson,2008,2011,Richmond,A-10,139,5041,769,1759,593,1246,176,513,453,583,94,312,406,410,217,24,307,262,2167
73,Marcus Foster,2014,2018,Total,Total,130,3901,784,1758,478,944,306,814,293,407,65,337,402,312,91,15,284,259,2167
74,Tywain McKee,2006,2009,Coppin State,MEAC,127,4382,705,1696,472,1061,233,635,515,640,187,406,593,406,253,15,373,304,2158
75,Damon Lynn,2014,2017,NJIT,Total,118,4225,657,1769,223,544,434,1225,405,498,50,280,330,369,188,8,266,174,2153
76,Jonathan Rodriguez,2007,2010,Campbell,A-Sun,121,3968,712,1490,636,1245,76,245,653,860,332,734,1066,286,175,75,346,277,2153
77,Jeremy Hazell,2008,2011,Seton Hall,Big East,114,3684,701,1676,373,722,328,954,416,554,115,256,371,133,191,12,172,192,2146
78,Stan Okoye,2010,2013,Virginia Military Institute,Big South,123,3471,788,1590,659,1203,129,387,441,665,296,666,962,212,152,103,305,317,2146
79,Sean Kilpatrick,2011,2014,Cincinnati,Total,140,4315,707,1687,394,786,313,901,418,536,175,427,602,279,166,23,236,182,2145
80,Francis Alonso,2016,2019,North Carolina-Greensboro,Southern,140,4031,661,1541,265,564,396,977,426,489,53,240,293,324,120,15,309,310,2144
81,Reggie Williams,2006,2008,Virginia Military Institute,Big South,85,2841,779,1517,616,986,163,531,416,605,256,437,693,312,137,31,250,165,2137
82,E'Twaun Moore,2008,2011,Purdue,Big Ten,140,4517,780,1774,537,1135,243,639,333,457,151,459,610,400,164,59,289,325,2136
83,Jacob Pullen,2008,2011,Kansas State,Big 12,135,3978,653,1600,354,772,299,828,527,684,69,253,322,455,210,9,355,274,2132
84,Jameel Warney,2013,2016,Stony Brook,AEC,135,4140,884,1482,884,1482,0,0,364,615,474,801,1275,220,105,275,184,277,2132
85,Ethan Happ,2016,2019,Wisconsin,Big Ten,139,4120,880,1618,879,1602,1,16,369,682,360,857,1217,423,217,154,353,382,2130
88,Torrey Craig,2011,2014,South Carolina Upstate,A-Sun,131,4061,747,1808,450,909,297,899,337,502,277,667,944,236,138,101,347,326,2128
89,James Daniel,2014,2018,Total,Total,125,3740,591,1613,301,761,290,852,656,803,67,188,255,314,182,12,379,252,2128
90,David Kool,2007,2010,Western Michigan,MAC,125,4002,643,1519,412,866,231,653,605,680,75,376,451,272,163,2,282,238,2122
91,Nick Barbour,2009,2012,High Point,Big South,119,3525,660,1582,346,802,314,780,487,620,79,262,341,137,129,33,265,294,2121
92,Chavaughn Lewis,2012,2015,Marist,MAAC,123,4140,728,1756,608,1370,120,386,543,810,130,506,636,308,243,75,407,316,2119
93,Jon Davis,2016,2019,Charlotte,CUSA,121,4247,681,1567,481,992,200,575,551,691,66,371,437,547,124,37,415,207,2113
94,DeAndre Kane,2011,2014,Total,Total,132,4511,732,1694,578,1183,154,511,492,817,205,538,743,645,173,30,438,363,2110
95,D.J. Newbill,2011,2015,Total,Total,131,4542,727,1621,594,1226,133,395,518,715,243,438,681,340,131,29,342,348,2105
96,Andrew Nicholson,2009,2012,St. Bonaventure,A-10,123,3672,809,1407,780,1330,29,77,456,633,271,616,887,87,61,244,296,371,2103
97,Deonte Burton,2011,2014,Nevada,Total,130,4393,649,1479,465,933,184,546,620,826,54,320,374,515,169,53,280,307,2102
98,Seth Curry,2009,2013,Total,Total,141,4357,682,1582,357,757,325,825,412,498,84,314,398,290,173,27,225,249,2101
99,Tyrese Rice,2006,2009,Boston College,ACC,132,4202,648,1492,401,793,247,699,556,674,80,307,387,594,161,28,415,252,2099
100,Keifer Sykes,2012,2015,Green Bay,Horizon,127,4236,713,1570,600,1224,113,346,557,712,82,385,467,522,155,11,286,284,2096
101,Da'Sean Butler,2007,2010,West Virginia,Big East,146,4491,741,1654,536,1073,205,581,408,557,270,530,800,280,154,35,252,339,2095
102,Alex Francis,2011,2014,Bryant,NEC,123,4141,791,1457,778,1404,13,53,490,815,320,670,990,172,109,52,457,315,2085
103,Dominique Morrison,2009,2012,Oral Roberts,Summit,129,4295,687,1476,524,1052,163,424,543,668,141,429,570,246,95,52,206,349,2080
104,Clifford Reed,2009,2013,Total,Total,133,4917,685,1869,476,1196,209,673,501,643,78,393,471,553,179,7,411,279,2080
105,Shane Gibson,2009,2013,Sacred Heart,NEC,121,3707,728,1562,442,871,286,691,337,395,105,352,457,203,156,52,330,291,2079
106,Jeremy Senglin,2014,2017,Weber State,Big Sky,124,4183,668,1444,323,621,345,823,397,545,38,361,399,345,110,11,269,255,2078
107,Jon Scheyer,2007,2010,Duke,ACC,144,4759,586,1442,289,662,297,780,608,706,148,374,522,440,208,30,211,229,2077
108,Keon Johnson,2014,2017,Winthrop,Big South,128,3940,632,1474,337,734,295,740,517,610,48,350,398,270,91,0,219,238,2076
109,D.J. Cooper,2010,2013,Ohio,MAC,143,4835,648,1707,374,856,274,851,505,681,153,467,620,934,327,29,447,254,2075
110,Ronshad Shabazz,2016,2019,Appalachian State,Sun Belt,126,3824,712,1737,443,973,269,764,374,517,86,320,406,273,104,8,268,212,2067
111,Drew McDonald,2016,2019,Northern Kentucky,Horizon,131,3652,717,1520,535,1024,182,496,450,586,265,816,1081,262,56,58,267,277,2066
112,Chavis Holmes,2006,2009,Virginia Military Institute,Big South,119,3415,664,1509,358,714,306,795,431,562,169,268,437,312,304,58,297,312,2065
113,John Konchar,2016,2019,Purdue-Fort Wayne,Summit,133,4675,759,1364,566,900,193,464,354,508,309,840,1149,553,272,78,247,272,2065
114,Wesley Person,2015,2018,Troy,Sun Belt,130,4382,642,1522,281,575,361,947,418,521,80,302,382,192,65,10,197,210,2063
115,Justin James,2016,2019,Wyoming,MWC,132,3707,692,1565,534,1096,158,469,519,710,105,609,714,344,123,65,329,291,2061
116,LaDontae Henton,2012,2015,Providence,Big East,135,4909,724,1655,537,1100,187,555,424,560,324,730,1054,158,158,91,246,327,2059
117,Jaycee Carroll,2006,2008,Utah State,WAC,102,3624,707,1390,417,763,290,627,348,395,153,389,542,221,95,18,213,200,2052
118,Anatoly Bose,2008,2011,Nicholls State,Southland,120,3763,629,1453,358,731,271,722,521,672,178,483,661,210,128,19,312,260,2050
119,Isaiah Canaan,2010,2013,Murray State,OVC,132,3876,635,1411,331,686,304,725,476,593,73,293,366,385,157,10,311,241,2050
120,Cameron Wells,2008,2011,Citadel,Southern,127,4463,753,1754,664,1440,89,314,454,565,105,552,657,485,186,43,307,288,2049
121,Markeith Cummings,2010,2013,Kennesaw State,A-Sun,121,4160,723,1590,635,1297,88,293,514,752,252,381,633,227,135,32,342,324,2048
122,Reggie Holmes,2007,2010,Morgan State,MEAC,133,3659,613,1608,305,743,308,865,514,657,202,322,524,76,169,25,191,337,2048
123,Kelan Martin,2015,2018,Butler,Big East,136,3656,713,1631,489,987,224,644,397,505,140,569,709,161,79,56,237,283,2047
124,Johnny Dee,2012,2015,San Diego,WCC,131,4081,666,1542,333,707,333,835,381,419,47,318,365,157,121,3,169,193,2046
125,Jordan Caroline,2015,2019,Total,Total,138,4535,688,1492,576,1170,112,322,557,862,382,782,1164,242,109,35,268,310,2045
126,Dionte Christmas,2006,2009,Temple,A-10,130,3849,652,1531,333,645,319,886,420,540,128,448,576,261,154,28,280,280,2043
127,Tim Kempton,2014,2017,Lehigh,Patriot,123,3586,744,1404,715,1331,29,73,526,719,261,834,1095,131,86,76,349,372,2043
130,Courtney Pigram,2006,2009,East Tennessee State,A-Sun,127,4044,738,1844,462,1036,276,808,289,405,83,328,411,416,232,13,376,252,2041
131,Thomas Wilder,2015,2018,Western Michigan,MAC,130,3775,641,1458,473,1012,168,446,590,729,61,435,496,413,190,28,266,288,2040
132,John Shurna,2009,2012,Northwestern,Big Ten,130,4132,704,1509,430,825,274,684,356,478,170,474,644,295,119,135,215,224,2038
133,Jack Gibbs,2014,2017,Davidson,Total,119,3618,647,1494,392,804,255,690,487,594,79,327,406,466,161,2,284,235,2036
134,Mike Muscala,2010,2013,Bucknell,Patriot,133,3815,723,1443,702,1376,21,67,569,695,301,792,1093,211,56,271,217,312,2036
135,Rashawn Thomas,2014,2017,Texas A&M-Corpus Christi,Southland,125,3475,737,1348,716,1278,21,70,539,802,308,653,961,173,118,217,381,434,2034
136,Kenny Boynton,2010,2013,Florida,SEC,145,4674,666,1671,333,693,333,978,368,468,91,257,348,392,128,19,221,172,2033
137,Zeek Woodley,2014,2017,Northwestern State,Southland,105,3092,743,1336,610,1012,133,324,414,492,179,317,496,109,83,65,145,243,2033
138,Marvelle Harris,2013,2016,Fresno State,MWC,136,4524,667,1595,476,1027,191,568,506,678,96,509,605,396,207,47,264,347,2031
139,Ryan Wittman,2007,2010,Cornell,Ivy,121,4140,696,1520,319,646,377,874,259,307,53,388,441,221,117,30,201,225,2028
140,Chris Warren,2008,2011,Mississippi,SEC,115,3812,634,1563,300,663,334,900,419,487,24,209,233,452,125,13,281,216,2021
141,Kevin Murphy,2009,2012,Tennessee Tech,OVC,128,3718,706,1594,515,1081,191,513,416,567,108,426,534,249,102,24,381,273,2019
142,Damion Lee,2012,2016,Total,Total,125,4104,636,1468,379,758,257,710,487,578,112,486,598,244,142,26,217,298,2016
143,Joe Zeglinski,2007,2011,Hartford,AEC,135,4871,690,1820,297,680,393,1140,243,352,178,435,613,257,151,21,223,333,2016
144,Noah Dahlman,2008,2011,Wofford,Southern,128,3636,764,1276,764,1270,0,6,485,693,400,386,786,97,90,43,149,244,2013
145,Marcquise Reed,2015,2019,Total,Total,134,4003,682,1524,501,1038,181,486,468,557,85,416,501,348,237,3,293,255,2013
146,Quinndary Weatherspoon,2016,2019,Mississippi State,SEC,131,4081,706,1471,519,963,187,508,413,524,188,487,675,315,201,46,307,301,2012
147,Kenneth Faried,2008,2011,Morehead State,OVC,136,3964,783,1376,780,1364,3,12,440,755,602,1071,1673,117,228,241,304,416,2009
148,Mike Trimboli,2006,2009,Vermont,AEC,126,4471,649,1542,419,894,230,648,480,576,101,328,429,624,213,19,447,302,2008
149,Troy Huff,2011,2014,North Dakota,Total,125,3596,698,1609,557,1130,141,479,468,686,265,485,750,172,229,43,271,205,2005
152,A.J. English,2013,2016,Iona,MAAC,112,3855,612,1447,299,611,313,836,467,590,74,413,487,510,140,52,330,261,2004
153,Javon McCrea,2011,2014,Buffalo,MAC,128,3473,798,1386,797,1382,1,4,407,653,411,577,988,249,164,250,309,368,2004
154,Dior Lowhorn,2006,2010,Total,Total,123,3582,764,1552,695,1351,69,201,406,581,257,497,754,72,58,86,239,220,2003
155,Justin Robinson,2014,2017,Monmouth,MAAC,131,4002,635,1512,378,848,257,664,476,574,70,373,443,497,211,4,288,194,2003
156,Adnan Hodzic,2008,2011,Lipscomb,A-Sun,121,3252,799,1363,798,1355,1,8,403,576,293,547,840,80,36,33,273,278,2002
157,Cory Higgins,2008,2011,Colorado,Big 12,132,4478,653,1397,528,1037,125,360,570,691,92,455,547,320,192,47,305,304,2001
158,Kyle Wilson,2013,2016,Army,Patriot,124,3781,686,1676,412,922,274,754,355,446,56,252,308,211,67,15,257,201,2001
159,Reed Timmer,2015,2018,Drake,MVC,127,4003,618,1404,404,853,214,551,550,654,56,344,400,287,88,6,254,209,2000
160,Grayson Allen,2015,2018,Duke,ACC,142,3965,606,1409,315,643,291,766,493,591,76,374,450,432,147,14,240,297,1996
161,Kalin Lucas,2008,2011,Michigan State,Big Ten,141,4278,670,1575,521,1180,149,395,507,637,79,192,271,558,144,11,324,233,1996
162,Trey Sumler,2011,2014,Western Carolina,Southern,132,4648,645,1490,428,926,217,564,489,599,128,446,574,496,182,5,379,291,1996
163,Langston Galloway,2011,2014,Saint Joseph's,A-10,133,4720,657,1501,314,695,343,806,334,407,130,467,597,296,171,66,156,327,1991
164,Kendrick Perry,2011,2014,Youngstown State,Horizon,123,4183,643,1374,442,797,201,577,504,670,109,397,506,505,246,36,241,306,1991
165,Drake Reed,2006,2009,Austin Peay,OVC,131,4093,745,1421,720,1340,25,81,476,694,308,486,794,235,105,63,318,304,1991
166,William Buford,2009,2012,Ohio State,Big Ten,145,4727,744,1690,529,1132,215,558,287,355,151,515,666,361,131,42,254,279,1990
167,C.J. Massinburg,2016,2019,Buffalo,MAC,130,4008,626,1386,353,678,273,708,465,614,231,539,770,318,137,44,203,244,1990
168,Tasmin Mitchell,2006,2010,Louisiana State,SEC,137,4692,762,1639,651,1317,111,322,354,481,324,626,950,292,190,83,286,328,1989
169,Jermaine Marrow,2017,2019,Hampton,Total,100,3411,662,1689,491,1160,171,529,492,620,82,328,410,449,120,8,331,277,1987
170,Yogi Ferrell,2013,2016,Indiana,Big Ten,137,4496,637,1475,365,794,272,681,440,530,76,362,438,633,114,9,312,231,1986
171,Alex Hamilton,2013,2016,Louisiana Tech,Total,140,3895,636,1387,526,996,110,391,604,834,103,413,516,501,215,49,316,207,1986
174,Jerel McNeal,2006,2009,Marquette,Big East,130,4011,726,1649,562,1176,164,473,369,515,174,434,608,455,287,66,436,375,1985
175,Warren Niles,2010,2013,Oral Roberts,Total,136,4451,673,1593,381,813,292,780,344,440,96,411,507,257,133,22,286,279,1982
176,Jermaine Taylor,2006,2009,Central Florida,CUSA,122,3146,710,1524,459,856,251,668,308,403,185,286,471,173,115,49,263,206,1979
177,Norris Cole,2008,2011,Cleveland State,Horizon,140,4114,677,1555,538,1122,139,433,485,587,90,353,443,455,207,11,283,312,1978
178,Chaz Williams,2010,2014,Total,Total,136,4665,634,1559,438,1038,196,521,514,667,126,404,530,840,253,20,437,390,1978
179,Bryce Cotton,2011,2014,Providence,Big East,130,4314,611,1452,345,716,266,736,487,581,70,298,368,384,118,11,193,157,1975
180,Greg Gantt,2010,2013,Florida Atlantic,Sun Belt,121,3799,707,1625,420,851,287,774,271,360,113,305,418,125,90,9,169,179,1972
181,Ben Smith,2007,2010,Jacksonville,A-Sun,125,4475,571,1407,351,782,220,625,609,754,77,247,417,515,230,13,231,160,1971
182,A.J. Abrams,2006,2009,Texas,Big 12,144,4673,660,1623,271,647,389,976,260,301,71,254,325,264,179,10,186,247,1969
183,Elijah Brown,2014,2018,Total,Total,129,3685,585,1469,306,676,279,793,520,609,64,459,523,322,115,10,308,238,1969
184,Jamarco Warren,2008,2011,Charleston Southern,Big South,121,3915,660,1635,323,718,337,917,311,391,63,270,333,336,153,6,321,256,1968
185,Ken Horton,2008,2012,Central Connecticut State,NEC,116,3865,718,1421,560,971,158,450,372,457,291,551,842,182,139,195,209,256,1966
186,Sheldon McClellan,2012,2016,Total,Total,141,4237,634,1392,456,869,178,523,517,632,126,408,534,180,133,22,180,183,1963
187,Tanner Leissner,2015,2018,New Hampshire,AEC,122,4096,667,1476,560,1137,107,339,521,675,289,573,862,196,61,44,230,282,1962
188,Ricky Harris,2007,2010,Massachusetts,A-10,129,3460,643,1534,367,739,276,795,398,533,60,254,314,215,148,14,281,235,1960
189,Stephan Hicks,2012,2015,Cal State Northridge,Big West,122,3938,651,1338,593,1153,58,185,599,737,282,515,797,137,155,35,227,284,1959
190,Shabazz Napier,2011,2014,Connecticut,Total,143,4614,595,1447,335,754,260,693,509,626,101,475,576,646,251,30,350,301,1959
191,Markus Howard,2017,2019,Marquette,Big East,99,2890,627,1384,314,661,313,723,388,430,36,276,312,297,95,5,282,236,1955
192,Eric Maynor,2006,2009,Virginia Commonwealth,CAA,130,3990,654,1457,512,1073,142,384,503,636,70,372,442,674,168,20,318,258,1953
193,Ben Uzoh,2007,2010,Tulsa,CUSA,141,4549,657,1448,484,952,173,496,464,593,176,529,705,425,162,99,334,245,1951
196,Tayler Persons,2015,2019,Total,Total,129,3857,715,1574,578,1173,137,401,383,508,72,434,506,559,138,15,384,310,1950
197,Kellen Dunham,2013,2016,Butler,Total,134,4280,598,1457,299,681,299,776,451,537,67,324,391,173,83,16,203,192,1946
198,Matt Mobley,2014,2018,Total,Total,127,4382,602,1478,307,659,295,819,447,537,59,447,506,272,139,21,285,286,1946
199,Arizona Reid,2006,2008,High Point,Big South,92,3134,807,1580,736,1396,71,184,258,367,286,619,905,184,134,40,245,235,1943
200,Anthony Drmic,2012,2016,Boise State,MWC,131,4117,634,1463,359,677,275,786,399,529,129,477,606,244,122,16,223,361,1942
201,Sindarius Thornwell,2014,2017,South Carolina,SEC,132,4194,596,1521,417,993,179,528,570,739,214,471,685,390,199,78,331,320,1941
202,Matt Howard,2008,2011,Butler,Horizon,141,3828,606,1178,548,1025,58,153,669,855,331,553,884,148,112,131,221,451,1939
203,Edwin Ubiles,2007,2010,Siena,MAAC,131,4131,787,1582,684,1290,103,292,262,390,157,403,560,273,157,95,276,163,1939
204,Tim Williams,2013,2017,Total,Total,118,3990,759,1309,757,1301,2,8,419,599,229,623,852,115,121,133,194,254,1939
205,Stephen Croone,2013,2016,Furman,Southern,121,3744,573,1294,434,831,139,463,651,872,55,415,470,385,177,31,365,267,1936
206,Damian Lillard,2009,2012,Weber State,Big Sky,104,3363,584,1310,338,680,246,630,520,600,43,401,444,362,129,19,246,221,1934
207,Rayvonte Rice,2011,2015,Total,Total,123,3902,655,1515,499,1014,156,501,468,642,155,549,704,200,206,70,230,337,1934
208,Matthew Dellavedova,2010,2013,Saint Mary's (CA),WCC,136,4944,590,1423,302,662,288,761,465,541,113,356,469,768,150,7,342,264,1933
209,Keith Gabriel,2009,2012,Virginia Military Institute,Big South,124,3082,654,1569,343,636,311,933,306,449,105,277,382,168,212,99,239,301,1925
210,Bryce Alford,2014,2017,UCLA,Pac-12,141,4509,584,1443,255,614,329,829,425,515,30,360,390,537,106,10,235,191,1922
211,Evan Bradds,2014,2017,Belmont,OVC,129,3606,740,1109,728,1072,12,37,429,612,236,684,920,214,59,27,283,342,1921
212,Josh Hart,2014,2017,Villanova,Big East,146,4093,677,1326,470,794,207,532,360,500,252,560,812,266,161,43,194,327,1921
213,Ian Clark,2010,2013,Belmont,Total,133,3818,681,1406,341,606,340,800,218,269,64,316,380,289,162,27,277,283,1920
214,Drew Crawford,2010,2014,Northwestern,Big Ten,143,4627,687,1575,455,917,232,658,314,432,201,512,713,286,118,98,235,356,1920
215,Carsen Edwards,2017,2019,Purdue,Big Ten,108,3180,634,1538,353,775,281,763,371,454,41,322,363,270,126,21,241,206,1920
216,JaJuan Johnson,2008,2011,Purdue,Big Ten,140,3856,706,1410,691,1350,15,60,492,662,280,573,853,95,93,263,188,246,1919
217,D'Vauntes Smith-Rivera,2013,2016,Georgetown,Big East,130,4257,600,1419,350,728,250,691,469,565,117,396,513,386,165,22,215,238,1919
